id,name,unique_name,other_name,gender,room_and_board,home_town,home_state,home_country,born,died,other_education,admitted_to_bar,training_with_other_lawyers,federal_committees,state_committees,biographical_notes,citation_of_attendance,image_id,secondary_sources,additional_notes,private_notes,benevolent_and_charitable_organizations,quotes,political_parties,professions,residences,government_posts,marriages,LLS,LFA,materials,relations
3701,Elizabeth Caldwell Rogers,,Elizabeth Caldwell; Polly Caldwell; Polly Rogers,F,,Hartford,CT,United States,1785,,,,,,,"Elizabeth Caldwell Rogers was born in 1785 to John Caldwell and Margaret Collier Caldwell in Hartford, Connecticut. Elizabeth attended the Litchfield Female Academy in 1802 and 1806, and later attended and graduated from Catharine Beecher's Hartford Female Seminary in 1828. On February 26, 1839 Elizabeth married a man from New York City named Ebenezer Rogers.","Elizabeth ('Polly') is listed as a fellow student in Maryann Bacon's 1802 Journal (Litchfield Historical Society - Litchfield Female Academy Collection).   <br>1802 Litchfield Female Academy Catalog (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 to 1833.</I> Cambridge, MA: The University Press, 1903).",,,,,,,,,,,"Ebenezer Rogers/February 26, 1839",,"1802,1806",,
3702,Ebenezer Rogers,,,M,,New York,NY,United States,,,,,,,,,,,,,,,,,,,,,,,,
3703,John Caldwell,,,M,,,,,,,,,,,,,,,,,,,,,,,,Margaret Collier Caldwell/,,,,
3704,Margaret Collier Caldwell,,,F,,,,,1755,1799,,,,,,,,,,,,,,,,,,,,,,
3707,Eliza Camp Clisby,,Eliza Minerva Camp; Eliza Minerva Cisbe,F,,Owego,NY,United States,"October 15, 1802",1871,,,,,,"Eliza Camp Clisby was the daughter of William Camp, a businessman from Owego, New York, and his wife Abigail Whittlesey Camp. Eliza was born on October 15, 1802. She attended the Litchfield Female Academy in 1816 as well as in 1817. On October 11, 1827 Eliza married a man also from Owego, New York by the name of Ira Joseph Clisby. Eliza passed away in 1871.","Mentioned in Eliza Ogden's 1816-1818 diary, August 15, 1816  (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 to 1833.</I> Cambridge, MA: The University Press, 1903).    <br>1816 Litchfield Female Academy Catalog (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 to 1833.</I> Cambridge, MA: The University Press, 1903).    <br>1817 Litchfield Female Academy Winter Session Catalogue (Vanderpoel, Emily Noyes. <I>More Chronicles of A Pioneer School From 1792 to 1833.</I> Cambridge, MA: The University Press, 1927).  ",,,,,,,,,,,"Ira Joseph Clisby/ Cisbe/October 11, 1827",,1816-1817,,
3708,Ira Joseph Clisby/ Cisbe,,,M,,Owego,NY,United States,,,,,,,,,,,,,,,,,,,,,,,,
3709,William Camp,,,M,,,,,1777,,,,,,,,,,,,,,,,Business,,,Abigail Whittlesey Camp/,,,,
3710,Abigail Whittlesey Camp,,,F,,,,,1777,,,,,,,,,,,,,,,,,,,,,,,
3711,Laura Camp Lansing,,Laura Camp; Laura Dickinson,F,,Washington,CT,United States,"June 15, 1800",,,,,,,"Laura Camp Lansing was born on June 15, 1800 to Joel and Anne Whittlesey Camp of Washinton, Connecticut. Laura attended the Litchfield Female Academy in 1818. During her lifetime Laura married twice. Her first husband, Rev. Austin Dickinson, was a Dartmouth graduate. They married in 1813. Her second husband, a Yale graduate from Lansingburg, New York, was Rev. Dirck Cornelius Lansing.",'Catalogue of the Ladies Academy in Litchfield' 1818 by J.A. Shepard (Litchfield Historical Society - Litchfield Female Academy collection).,,,,,,,,,,,Austin Dickinson/1813;Dirck Cornelius Lansing/,,1818,Litchfield Female Academy Collection,
3712,Austin Dickinson,,,M,,,,,,,Attended Dartmouth in 1813,,,,,,,,,,,,,,Religious Calling,,,,,,,
3713,Dirck Cornelius Lansing,,,M,,Lansingburg,NY,United States,,,Graduated from Yale College in 1804,,,,,,,,,,,,,,Religious Calling,,,,,,,
3714,Joel Camp,,,M,,,,,1771,"May 18, 1848",,,,,,,,,,,,,,,Agriculture,,,Anne Whittlesey Camp/,,,,
3715,Anne Whittlesey Camp,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3716,Maria Camp Southmayd,,Maria Camp,F,,Hartford,CT,United States,"May 17, 1803",,,,,,,"Maria Camp Southmayd was the daughter of Abel and Lucy Camp. She was born on May 17th, 1803 in Hartford, Connecticut. In 1818 Maria attended the Litchfield Female Academy. She later married William P. Southmayd on April 15th, 1826.",'Catalogue of the Ladies Academy in Litchfield' 1818 by J.A. Shepard (Litchfield Historical Society - Litchfield Female Academy Collection).,,,,,,,,,,,"William P. Southmayd/April 15, 1826",,1818,Litchfield Female Academy Collection,
3717,William P. Southmayd,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3718,Abel Camp,,,M,,,,,,,,,,,,,,,,,,,,,,,,Lucy Camp/,,,,
3719,Lucy Camp,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3721,Mary G. Camp,,,F,,Durham,CT,United States,"August 26, 1800",1841,,,,,,"Mary G. Camp was born on August 26th, 1800 to Lemuel Camp and Martha Pickett Camp of Durham, Connecticut. Mary attended the Litchfield Female Academy in 1818 where she kept a journal that is currently housed at the Connecticut State Library. Mary died unmarried in 1841.",Mary Camp kept a journal while attending the Litchfield Female Academy (Connecticut State Library).,,"White, Lorraine Cook. <I>Barbour Collection of Connecticut Town Vital Records: Durham 1708-1852; Eastford 1847-1851.; East Haddam 1743-1857</I>. Genealogical Publishing Co., 1997.",,,,,,,,,,,1818,,
3722,Lemuel Camp,,,M,,,,,1770,,,,,,,,,,,,,,,,,Durham/CT/United States,,Martha Pickett Camp/,,,,
3723,Martha Pickett Camp,,,F,,,,,1775,,,,,,,,,,,,,,,,,Durham/CT/United States,,,,,,
3724,Betsey Candle,,,F,,Stillwater,NY,United States,,,,,,,,"In 1813 Betsey Candle of Stillwater, New York attended the Litchfield Female Academy. No other information is known about her identity at this time.",Betsey wrote an inscription and signed her name in Elizabeth Caltin's 1813-1815 memory book (Litchfield Historical Society - Litchfield Female Academy collection).,,,,,,,,,,,,,1813,Litchfield Female Academy Collection,
3725,Caroline Canfield MacKay,,Caroline Emma Canfield,F,,Sharon,CT,United States,1797 or 1798,1872,,,,,,"Caroline Canfield MacKay was born in 1797 or 1798 to to lawyer and politician Judson Canfield and Mabel Ruggles Canfield in Sharon, Connecticut. Caroline is believed to have attended the Litchfield Female Academy in 1820. Sometime after completing her studies she married William MacKay. Caroline passed away in 1872.",[We are currently working to update and confirm citations of attendance.],,,,,,,,,,,William MacKay/,,c.1820,Judson Canfield papers;Samuel Flewwelling papers;Landscape of Canfield Home by Ralph Earl,
3726,William MacKay,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3727,Mabel Ruggles Canfield,,,F,,,,,1760,,,,,,,,,1917-04-4.JPG,,,,,,,,,,,,,"Wash Table;Quilt - 1824;Mourning Brooch for Judson Canfield, Mabel Ruggles Canfield and Frederick Augustus Tallmadge;Judson Canfield papers;Samuel Flewwelling papers;Portrait of Mabel Ruggles Canfield;Portrait of Mabel Ruggles Canfield - 1796;Landscape of Canfield Home by Ralph Earl",
3728,Julia Canfield Flewwelling,,Julie E. Canfield,F,,Sharon,CT,United States,1791,1868,,,,,,"Julia Canfield Flewwelling of Sharon, Connecticut was born in 1791 to lawyer and politician Judson Canfield and his wife Mabel Ruggles Canfield. Sometime prior to 1812 it is believed that Julia may have attended the Litchfield Female Academy. On May 16, 1812 Julia married Samuel Flewwelling of New York, New York. Julia died in the year 1868. Julia was called 'The Lily of the Valley.'","'List of Pupils Gathered From Letters and Other Sources' (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 to 1833.</I> Cambridge, MA: The University Press, 1903).",1918-03-15.jpg,,"Primary sources for Julia Canfield Flewwelling include a notebook, located in the Litchfield Female Academy collection, Series 2: Student Papers, Records, and Documents, Folder 46.",,,,,,,,"Samuel Flewwelling/March 16, 1812",,pre-1812,"Judson Canfield papers;Samuel Flewwelling papers;Litchfield Female Academy Collection;Silhouette of Julia Canfield Flewwelling;Portrait of Judson, Julia and Elizabeth Canfield;Landscape of Canfield Home by Ralph Earl",
3729,Samuel Flewwelling,,,M,,New York,NY,United States,,,,,,,,,,,,,,,,,,,,,,,,
3733,Sarah Radcliff Cantine,,,F,,Kingston,NY,United States,May 1797,,,,,,,"Sarah Radcliff Cantine was born in May 1797 to Moses Cantine and Hilletje Radcliff Cantine of Kinston, New York.. In 1814 Sarah attended the Litchfield Female Academy.",'Rules for the School and Home' and Names of the Young Ladies belonging to Miss Pierce's School in the Summer of 1814 (Litchfield Historical Society - Litchfield Female Academy collection).,,,,,,,,,,,,,1814,Litchfield Female Academy Collection,
3734,Moses Cantine,,,M,,Marbletown,NY,United States,1760,,,,,,,,,,,,,,,,,Kingston/NY/United States,,"Hilletje Radcliff Cantine/June 7, 1781",,,,
3735,Hilletje Radcliff Cantine,,,F,,,,,1762,1828,,,,,,,,,,,,,,,,,,,,,,
3736,Chester Carrington,,,M,,Litchfield,CT,United States,"April 14, 1811",,,,,,,"Chester Carrington was born in April 14, 1811 to Litchfield businessman Jonathon Carrington and Nabby McNeil Carrington. Chester possibly attended the Litchfield Female Academy in 1824 and 1825.",[We are currently working to update and confirm citations of attendance.],,,,,,,,,,,,,c.1824,,
3737,Jonathon Carrington,,,M,,,,,1784,1859,,,,,,,,,,,,,,,Business,,,Nabby McNeil Carrington/,,,,
3738,Nabby McNeil Carrington,,,F,,,,,1781,1837,,,,,,,,,,,,,,,,Litchfield/CT/United States,,,,,,
3739,Cyrus Carrington,,,M,,Litchfield,CT,United States,"October 23, 1808",,,,,,,"Cyrus Carrignton was born to Litchfield businessman Jonathon Carrington and Nabby McNeil Carrington on October 23rd, 1808. Cyrus attended the Litchfield Female Academy in 1822.","1822 Litchfield Female Academy Summer Session Catalogue (Vanderpoel, Emily Noyes. <I>More Chronicles of A Pioneer School From 1792 To 1833.</I> Cambridge, MA: The University Press, 1927).",,,,,,,,,,,,,1822,,
3740,Edwin A. Carrington,,,M,,Litchfield,CT,United States,"June 5, 1813",,,,,,,"Edwin A. Carrington was born to Litchfield businessman Jonathon Carrington and Nabby McNeil Carrington on June 5th, 1813. Edwin attended the Litchfield Female Academy in 1829.","1829 Litchfield Female Academy Winter Session Catalogue (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 to 1833.</I> Cambridge, MA: The University Press, 1903).",,,,,,,,,,,,,1829,,
3741,Emeline Carrington Morse,,Emeline Maria Carrington,F,,Litchfield,CT,United States,"August 21, 1815",,,,,,,"Emeline Carrington Morse was born to Litchfield businessman Jonathon Carrington Morse and Nabby McNeil Carrington on August 21st, 1815. Emeline attended that Litchfield Female Academy from 1830 to 1832. She married Benjamin Hart Morse of Litchfield on April 20, 1836.","'Catalogue of the Litchfield Academy ... 1830' (Litchfield Historical Society - Litchfield Female Academy collection).    <br>1831 Litchfield Female Academy Winter Session Catalogue (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 to 1833.</I> Cambridge, MA: The University Press, 1903).    <br>1831 Litchfield Female Academy Summer Session Catalogue (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 to 1833.</I> Cambridge, MA: The University Press, 1903).    <br>1832 Litchfield Female Academy Winter Session Catalogue (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 to 1833.</I> Cambridge, MA: The University Press, 1903).    ",,,,,,,,,,,"Benjamin Hart Morse/April 20, 1836",,1830-1832,Litchfield Female Academy Collection,
3742,Benjamin Hart Morse,,,M,,Litchfield,CT,United States,,,,,,,,,,,,,,,,,,,,,,,,
3743,Louisa Carrington,,,F,,Litchfield,CT,United States,"April 28, 1810",,,,,,,"Lousia Carrignton was born on April 28th, 1810 to Clark Carrington and Ruth Hart Carrington of Litchfield Connecticut. She attended the Litchfield Female Academy in 1826.","1826 Litchfield Female Academy Catalogue (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 To 1833.</I> Cambridge, MA: The University Press, 1903).",,,,,,,,,,,,,1826,,
3744,Clark Carrington,,,M,,,,,,,,,,,,,,,,,,,,,,Litchfield/CT/United States;Bristol/CT/United States,,Ruth Hart Carrington/1805,,,,
3745,Ruth Hart Carrington,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3746,Jonah/Jonas Case,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3747,Ruth Phelps Case,,,F,,,,,1743,,,,,,,,,,,,,,,,,,,,,,,
3748,Sofia Case,,,F,,,,,,,,,,,,"A student by the name of Sophia Case attended Sarah Pierce's Female Academy in Litchfield, Connecticut in 1802.The full identity of this student it not known at this time.","Sofia is listed as a fellow student in Maryann Bacon's 1802 Journal (Litchfield Historical Society - Litchfield Female Academy collection).   <br>1802 Litchfield Female Academy Catalog (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 To 1833.</I> Cambridge, MA: The University Press, 1903).",,,,,,,,,,,,,1802,Litchfield Female Academy Collection,
3750,Achsa Catlin,,,F,,Litchfield,CT,United States,"September 13, 1816",1841,,,,,,"Ascha Catlin was born to Levi Catlin, a Litchfield Lawyer, and Anna Landon Catlin on September 13, 1816. She attended Sarah Pierce's Female Academy in her hometown in 1832, and passed away in 1841.","1832 Litchfield Female Academy Summer Session Catalogue (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 To 1833.</I> Cambridge, MA: The University Press, 1903).",,,,,,,,,,,,,1832,"Mourning Watercolor for Achsah Catlin, Elizabeth Catlin and Truman Catlin by Elizabeth Catlin Cooke",
3751,Levi Catlin,,,M,,,,,1772,1841,,,,,,,,,,,,,,,Lawyer,,,Anna Landon Catlin/,,,,
3752,Anna Landon Catlin,,,F,,,,,1779,1841,,,,,,,,,,,,,,,Lawyer,,,,,,,
3753,Adeline Catlin Holabird,,Adeline Catlin,F,,Harwinton,CT,United States,"March 8, 1803",,,,,,,"Adeline Catlin Holabird was born on March 8, 1803 to Abijah Catlin, III and Orrinda Williams Catlin. Adeline may have attended the Litchfield Female Academy around the year 1819. Prior to this, Adeline attended the East Academy in Harwinton, Connecticut in 1818. In June of 1826 Adeline married William S. Holabird, a former Litchfield Law School student, and lawyer and politician from Winchester, Connecticut.","1819 Litchfield Female Academy Winter Session Catalogue (Vanderpoel, Emily Noyes. <I>More Chronicles of A Pioneer School From 1792 to 1833.</I> Cambridge, MA: The University Press, 1927).",,"Bentley, Raymond George. <I>History of Harwinton</I>. Winsted, CT: Dowd Printing Co., 1970.",,,,,,,,,,,1819,,
3754,"Abijah Catlin, III",,,M,,,,,1779,1836,,,,,,,,,,,,,,,Business;Agriculture;Manufacturer,,,Orinda Williams Catlin/,,,,
3755,Orinda Williams Catlin,,,F,,,,,1783,1860,,,,,,,,Orinda Catlin - oil portrait.jpg,,,,,,,,Harwinton/CT/United States,,,,,Mourning Picture for Abijah and Huldah Catlin;Portrait of Orinda Williams Catlin,
3756,Alice Catlin,,Ellis Catlin,F,,Litchfield,CT,United States,"March 4, 1812",,,,,,,"Alice Catlin was born on March 4, 1812 to Levi Catlin and and Anna Landon Catlin in Litchfield, Connecticut. Alice attended the Litchfield Female Academy in 1826 and 1827. ","1826 Litchfield Female Academy Catalogue (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 To 1833.</I> Cambridge, MA: The University Press, 1903).   <br>1827 Litchfield Female Academy Summer Session Catalogue (Vanderpoel, Emily Noyes. <I>More Chronicles of A Pioneer School Form 1792 To 1833.</I> Cambridge, MA: The University Press, 1927).",,,,,,,,,,,,,1826-1827,,
3757,Alexander Catlin,,,M,,,,,1738 or 1739,1809,,,,,,,,,,,,,,,Military,,,,,,,
3758,Abigail Goodman Catlin,,,F,,,,,1741,1805,,,,,,,,,,,,,,,,,,,,,,
3759,Avis Catlin Heaton,,Avis Catlin,F,,Litchfield,CT,United States,"March 4, 1810",,,,,,,"Avis Catlin Heaton was born on March 4, 1810 to Levi Catlin and Anna Landon Catlin of Litchfield, Connecticut. Avis attended the Litchfield Female Academy in the years 1824 and 1825. On December 10, 1832 Avis Married Levi Heaton Jr. of Northfield, Connecticut. Avis and Levi had one child.","1824 Litchfield Female Academy Summer Session Catalogue (Vanderpoel, Emily Noyes. <I>More Chronicles of A Pioneer School From 1792 to 1833.</I> Cambridge, MA: The University Press, 1927).   <br>1825 Litchfield Female Academy Catalogue (Vanderpoel, Emily Noyes. <I>Chronicles of A Pioneer School From 1792 to 1833.</I> Cambridge, MA: The University Press, 1903).",,,,,,,,,,,"Levi Heaton, Jr./December 10, 1832",,1824-1825,,
3760,"Levi Heaton, Jr.",,,M,,Northfield,CT,United States,,,,,,,,,,,,,,,,,,,,,,,,
3761,Elizabeth Catlin Cooke,,Elizabeth Catlin; Betsey Caltin; Betsey Cooke; Eliza Catlin,F,,Bristol,CT,United States,1799,1893,,,,,,"Elizabeth Catlin Cooke was born in 1799 to Truman Catlin and Elizabeth Wildman Catlin of Bristol, Connecticut. Elizabeth's parents and siblings died prior to 1813; her uncle Abel Catlin, then served as her guardian. Elizabeth attended the Litchfield Female Academy from 1812-1815. Three years later she married Randall Cooke of Wallingford, Connecticut.","Elizabeth ('Eliza') is mentioned in a letter from Julia Ann Crosby to Sarah and Hylah Bevier on October 22, 1813.  <br>'Rules for the School and Home' and Names of the Young Ladies belonging to Miss Pierce's School in the Summer of 1814 (Litchfield Historical Society - Litchfield Female Academy collection).   <br>Elizabeth had friends write in her memory book while in Litchfield in the year 1815 (Litchfield Historical Society - Litchfield Female Academy collection).",,,"Primary sources for Elizabeth Catlin Cooke include a 'Memory Book' and a photograph of her at age 70. These are located in the Litchfield Female Academy collection, Series 2: Student Papers, Records, and Documents, Folders 37 and 38.",,,,,,,,Randall Cooke/1818,,1812-1815,"Litchfield Female Academy Collection;Mourning Watercolor for Achsah Catlin, Elizabeth Catlin and Truman Catlin by Elizabeth Catlin Cooke;Elizabeth Catlin Cooke photo",
